video,numFrame,seconds,fps,rfps,subset,featureFrame
MD41D,1190.0,40.5,29.382716049382715,29.382716049382715,training,1149.5
SDXZ8,1235.0,51.42,24.017891870867366,24.017891870867366,training,1183.58
S673O,511.0,33.92,15.064858490566037,15.064858490566037,training,477.08
U79C9,873.0,34.88,25.02866972477064,25.02866972477064,training,838.12
N915C,997.0,33.83,29.470883830919306,29.470883830919306,training,963.1700000000001
FXRMG,793.0,33.0,24.03030303030303,24.03030303030303,training,760.0
P68QV,917.0,30.58,29.98691955526488,29.98691955526488,training,886.42
78XZ9,764.0,31.79,24.032714690154137,24.032714690154137,training,732.21
0VOQC,421.0,27.88,15.100430416068868,15.100430416068868,training,393.12
E6Q95,759.0,25.42,29.858379228953577,29.858379228953577,training,733.5799999999999
G99VH,1162.0,38.75,29.98709677419355,29.98709677419355,training,1123.25
DWHPO,891.0,30.42,29.289940828402365,29.289940828402365,training,860.58
H603E,971.0,32.33,30.034024126198577,30.034024126198577,training,938.67
CBXVQ,813.0,33.83,24.031924327519953,24.031924327519953,training,779.17
PN4MI,916.0,30.5,30.0327868852459,30.0327868852459,training,885.5
VJ2QS,713.0,23.75,30.021052631578947,30.021052631578947,training,689.25
FI1LR,763.0,31.75,24.031496062992126,24.031496062992126,training,731.25
AY08E,521.0,21.58,24.142724745134384,24.142724745134384,training,499.41999999999996
7XNAI,282.0,11.71,24.08198121263877,24.08198121263877,training,270.29
IST7I,971.0,40.42,24.022761009401286,24.022761009401286,training,930.58
OI3BC,891.0,29.71,29.989902389767753,29.989902389767753,training,861.29
F4BJJ,871.0,29.04,29.993112947658403,29.993112947658403,training,841.96
83654,895.0,29.83,30.003352329869262,30.003352329869262,training,865.1700000000001
0G0YF,706.0,29.38,24.02995234853642,24.02995234853642,training,676.62
0R5GS,941.0,31.33,30.03511011809767,30.03511011809767,training,909.67
PVB4S,982.0,32.71,30.021400183430142,30.021400183430142,training,949.29
N2OCX,275.0,18.25,15.068493150684931,15.068493150684931,training,256.75
Q5GVZ,300.0,29.21,10.270455323519343,10.270455323519343,training,270.79
R7107,375.0,12.5,30.0,30.0,training,362.5
UMOE4,341.0,11.38,29.964850615114234,29.964850615114234,training,329.62
QLWQ4,1354.0,45.92,29.486062717770032,29.486062717770032,training,1308.08
S9P0W,1144.0,38.25,29.908496732026144,29.908496732026144,training,1105.75
U1DTW,819.0,32.71,25.038214613268114,25.038214613268114,training,786.29
R6CIX,1821.0,30.38,59.94075049374589,59.94075049374589,training,1790.6200000000001
2PREF,743.0,24.96,29.767628205128204,29.767628205128204,training,718.04
57J92,917.0,36.62,25.040961223375206,25.040961223375206,training,880.38
R2DA8,824.0,46.17,17.847086852934805,17.847086852934805,training,777.8299999999999
VCU4P,808.0,26.92,30.014858841010398,30.014858841010398,training,781.0799999999999
U3OJV,693.0,27.67,25.045175280086735,25.045175280086735,training,665.33
PY5M4,527.0,30.58,17.23348593852191,17.23348593852191,training,496.41999999999996
T1CQE,536.0,35.62,15.047725996631106,15.047725996631106,training,500.38
FPNT1,537.0,17.88,30.03355704697987,30.03355704697987,training,519.12
3ZKDY,767.0,25.54,30.031323414252153,30.031323414252153,training,741.4599999999999
3MAY9,774.0,25.79,30.011632415664987,30.011632415664987,training,748.21
0TQZQ,617.0,20.54,30.038948393378774,30.038948393378774,training,596.46
G70A2,362.0,12.04,30.066445182724255,30.066445182724255,training,349.96
R00LO,934.0,31.75,29.41732283464567,29.41732283464567,training,902.25
CMD0M,888.0,29.58,30.020283975659233,30.020283975659233,training,858.4200000000001
2WGSN,840.0,28.0,30.0,30.0,training,812.0
KV99H,721.0,29.96,24.06542056074766,24.06542056074766,training,691.04
EDVAM,457.0,15.21,30.04602235371466,30.04602235371466,training,441.78999999999996
R1S1Z,651.0,21.67,30.04153207198892,30.04153207198892,training,629.3299999999999
FDYQZ,953.0,31.75,30.015748031496063,30.015748031496063,training,921.25
V3DJ5,657.0,26.25,25.02857142857143,25.02857142857143,training,630.75
9GMHF,747.0,31.08,24.034749034749037,24.034749034749037,training,715.9200000000001
G6MYM,917.0,30.58,29.98691955526488,29.98691955526488,training,886.42
7HZHM,938.0,31.29,29.977628635346758,29.977628635346758,training,906.71
XOMJ4,693.0,28.79,24.070857936783607,24.070857936783607,training,664.21
L2ZZB,1089.0,36.29,30.0082667401488,30.0082667401488,training,1052.71
5ACD3,1335.0,44.5,30.0,30.0,training,1290.5
UAT1F,894.0,29.83,29.96982903117667,29.96982903117667,training,864.17
MZOPX,1058.0,36.46,29.018102029621502,29.018102029621502,training,1021.54
VLE11,961.0,33.08,29.050785973397826,29.050785973397826,training,927.9200000000001
S67WR,720.0,28.75,25.043478260869566,25.043478260869566,training,691.25
00SL4,269.0,8.96,30.022321428571427,30.022321428571427,training,260.04
SYMIR,1062.0,35.42,29.983060417843024,29.983060417843024,training,1026.58
U3VOM,918.0,30.58,30.019620667102682,30.019620667102682,training,887.42
Q01UB,987.0,32.92,29.981773997569864,29.981773997569864,training,954.0799999999999
S72J9,846.0,28.21,29.98936547323644,29.98936547323644,training,817.79
6EU06,919.0,30.67,29.96413433322465,29.96413433322465,training,888.33
4ZNNP,918.0,30.58,30.019620667102682,30.019620667102682,training,887.42
PVVQS,918.0,30.58,30.019620667102682,30.019620667102682,training,887.42
FU2HI,1092.0,36.42,29.983525535420096,29.983525535420096,training,1055.58
D4CHP,482.99999999999994,29.58,16.328600405679513,16.328600405679513,training,453.41999999999996
MI76A,794.0,31.71,25.039419741406494,25.039419741406494,training,762.29
WFVD3,608.0,20.29,29.965500246426814,29.965500246426814,training,587.71
XHQT1,1010.0,33.67,29.997029997029994,29.997029997029994,training,976.3299999999999
XECIL,989.0,32.92,30.042527339003644,30.042527339003644,training,956.08
TX020,540.0,21.54,25.069637883008358,25.069637883008358,training,518.46
VAXUU,193.99999999999997,21.0,9.238095238095237,9.238095238095237,training,172.99999999999997
B9YPQ,522.0,30.92,16.88227684346701,16.88227684346701,training,491.08
UKCTK,515.0,30.88,16.677461139896373,16.677461139896373,training,484.12
AZC1I,464.0,30.71,15.10908498860306,15.10908498860306,training,433.28999999999996
Q24KP,922.0,30.71,30.022793878215563,30.022793878215563,training,891.29
OOWJ9,1021.0,34.0,30.029411764705884,30.029411764705884,training,987.0
5Z1CO,750.0,24.96,30.048076923076923,30.048076923076923,training,725.0400000000001
DB4WX,888.0,29.71,29.888926287445305,29.888926287445305,training,858.2900000000001
UBVV7,1115.0,37.17,29.997309658326607,29.997309658326607,training,1077.83
AGWQA,960.0,32.0,30.0,30.0,training,928.0
TJBGM,884.0,30.42,29.05982905982906,29.05982905982906,training,853.58
0NFT7,661.0,22.0,30.045454545454547,30.045454545454547,training,639.0
AX4EW,501.0,16.67,30.053989202159563,30.053989202159563,training,484.33
LT2IJ,1115.0,37.12,30.03771551724138,30.03771551724138,training,1077.8799999999999
X0CKA,198.0,19.75,10.025316455696203,10.025316455696203,training,178.25
JZ9L4,528.0,31.67,16.671929270603094,16.671929270603094,training,496.33000000000004
003WS,1357.0,45.75,29.661202185792348,29.661202185792348,training,1311.25
MLDGN,434.0,18.04,24.057649667405766,24.057649667405766,training,415.96
VPJLN,730.0,30.33,24.0685789647214,24.0685789647214,training,699.6700000000001
CW9VO,1029.0,34.25,30.043795620437955,30.043795620437955,training,994.75
XCUOD,1018.0,34.04,29.905992949471212,29.905992949471212,training,983.96
YQOPM,1397.0,46.54,30.017189514396218,30.017189514396218,training,1350.46
VJ3B5,736.0,24.5,30.040816326530614,30.040816326530614,training,711.5
1D31Z,1160.0,38.67,29.997414016033098,29.997414016033098,training,1121.33
LWP5F,917.0,30.54,30.02619515389653,30.02619515389653,training,886.46
HDDU0,846.0,35.21,24.027264981539336,24.027264981539336,training,810.7900000000001
NMG2Z,928.0,30.92,30.01293661060802,30.01293661060802,training,897.08
TU3IG,192.0,19.08,10.062893081761008,10.062893081761008,training,172.92000000000002
C1LJS,942.0,31.42,29.980903882877147,29.980903882877147,training,910.58
WFWTU,558.0,22.29,25.03364737550471,25.03364737550471,training,535.7099999999999
KU2T0,913.0,30.42,30.013149243918473,30.013149243918473,training,882.58
9WX7N,602.0,32.92,18.286755771567435,18.286755771567435,training,569.08
8W0XJ,477.0,31.75,15.023622047244094,15.023622047244094,training,445.25
IUW9N,909.0,30.29,30.0099042588313,30.0099042588313,training,878.71
3H0PT,182.0,17.42,10.44776119402985,10.44776119402985,training,164.58
9JIHR,746.0,24.88,29.983922829581996,29.983922829581996,training,721.12
W6QUC,517.0,31.0,16.677419354838708,16.677419354838708,training,485.99999999999994
XBXKO,411.0,39.96,10.285285285285285,10.285285285285285,training,371.04
WYHPH,473.0,15.75,30.03174603174603,30.03174603174603,training,457.25
GLH5S,886.0,29.5,30.033898305084747,30.033898305084747,training,856.5
UU5XI,911.0,30.33,30.036267721727665,30.036267721727665,training,880.6700000000001
PK2F0,724.0,24.12,30.01658374792703,30.01658374792703,training,699.88
PXKFK,1069.0,35.58,30.04496908375492,30.04496908375492,training,1033.42
JNLCW,758.0,25.25,30.019801980198018,30.019801980198018,training,732.75
7AH3L,837.0,33.46,25.014943215780036,25.014943215780036,training,803.5400000000001
C41G7,933.0,31.08,30.019305019305023,30.019305019305023,training,901.9200000000001
OOOQT,740.0,29.79,24.840550520308827,24.840550520308827,training,710.2099999999999
O0C2Z,757.0,31.54,24.00126823081801,24.00126823081801,training,725.46
OEBAH,923.0,30.79,29.977265345891524,29.977265345891524,training,892.21
17AZ5,941.0,31.54,29.835129993658846,29.835129993658846,training,909.46
YPZQ2,791.0,26.33,30.041777440182305,30.041777440182305,training,764.6700000000001
MMKKS,926.0,30.88,29.987046632124354,29.987046632124354,training,895.12
BWKJB,417.0,17.33,24.062319676860938,24.062319676860938,training,399.67
7OPHI,991.0,33.04,29.993946731234868,29.993946731234868,training,957.96
R0207,997.0,33.21,30.021077988557664,30.021077988557664,training,963.7900000000001
U75AZ,871.0,29.04,29.993112947658403,29.993112947658403,training,841.96
MIV2M,732.0,24.38,30.024610336341265,30.024610336341265,training,707.62
HXSMP,406.0,13.5,30.074074074074073,30.074074074074073,training,392.5
OVICR,733.0,30.5,24.0327868852459,24.0327868852459,training,702.5
QGHR6,71.0,2.33,30.472103004291846,30.472103004291846,training,68.67
Z3DBQ,800.0,26.67,29.99625046869141,29.99625046869141,training,773.3299999999999
SL9ZD,911.0,30.38,29.986833443054643,29.986833443054643,training,880.62
AZZVK,920.0,30.67,29.996739484838603,29.996739484838603,training,889.33
FO2RD,873.0,29.04,30.06198347107438,30.06198347107438,training,843.96
MS3E8,904.0,30.12,30.013280212483398,30.013280212483398,training,873.88
1X765,1105.0,36.79,30.035335689045937,30.035335689045937,training,1068.21
RGHXS,696.0,29.0,24.0,24.0,training,667.0
VG9II,777.0,32.33,24.03340550572224,24.03340550572224,training,744.67
EN80R,766.0,26.46,28.94935752078609,28.94935752078609,training,739.54
HIOY0,1093.0,36.42,30.0109829763866,30.0109829763866,training,1056.58
LZ07A,762.0,31.71,24.03027436140019,24.03027436140019,training,730.29
XV8CH,845.0,28.21,29.953917050691242,29.953917050691242,training,816.79
JCKRL,1079.0,35.96,30.005561735261402,30.005561735261402,training,1043.04
RANB1,981.0,32.67,30.02754820936639,30.02754820936639,training,948.33
VIKQG,573.0,19.08,30.031446540880506,30.031446540880506,training,553.92
IR7CA,908.0,30.25,30.016528925619834,30.016528925619834,training,877.75
K2L7F,934.0,31.08,30.051480051480052,30.051480051480052,training,902.92
JNWX7,1547.0,51.58,29.992245056223343,29.992245056223343,training,1495.42
WLOCV,1024.0,34.08,30.046948356807512,30.046948356807512,training,989.92
94KP4,909.0,30.29,30.0099042588313,30.0099042588313,training,878.71
1Y5H7,895.0,30.83,29.030165423289006,29.030165423289006,training,864.17
KW4Y1,1031.0,34.38,29.988365328679464,29.988365328679464,training,996.62
WYYUD,1008.0,33.58,30.01786777843955,30.01786777843955,training,974.42
GKH4A,946.0,31.5,30.03174603174603,30.03174603174603,training,914.5
FLCZA,217.0,10.67,20.33739456419869,20.33739456419869,training,206.33
1BUFQ,605.0,40.25,15.031055900621118,15.031055900621118,training,564.75
KW3BO,840.0,28.0,30.0,30.0,training,812.0
CO1S9,387.0,12.88,30.046583850931675,30.046583850931675,training,374.12
N588B,754.0,25.12,30.01592356687898,30.01592356687898,training,728.88
ZS1P1,1196.0,39.88,29.989969909729187,29.989969909729187,training,1156.1200000000001
2H5YP,1772.0,59.04,30.013550135501355,30.013550135501355,training,1712.96
I6AZD,716.0,30.0,23.866666666666667,23.866666666666667,training,686.0
99DTF,476.0,15.83,30.06948831332912,30.06948831332912,training,460.16999999999996
QDINO,612.0,25.42,24.075531077891423,24.075531077891423,training,586.58
3CPVF,900.0,29.96,30.040053404539385,30.040053404539385,training,870.04
QIQXR,1586.0,66.0,24.03030303030303,24.03030303030303,training,1520.0
SXYLN,451.0,29.88,15.093708165997324,15.093708165997324,training,421.12
I6B5D,915.0,38.08,24.028361344537817,24.028361344537817,training,876.9200000000001
MJX48,907.0,30.25,29.983471074380166,29.983471074380166,training,876.75
YMGGV,849.0,28.29,30.010604453870627,30.010604453870627,training,820.71
J39ZC,1056.0,35.17,30.025589991470003,30.025589991470003,training,1020.83
C5BMA,837.0,33.46,25.014943215780036,25.014943215780036,training,803.5400000000001
2INEX,1073.0,36.12,29.70653377630122,29.70653377630122,training,1036.88
GV40M,711.0,23.67,30.03802281368821,30.03802281368821,training,687.33
D8QFD,913.0,30.42,30.013149243918473,30.013149243918473,training,882.58
0YXN6,942.0,31.38,30.019120458891013,30.019120458891013,training,910.62
J12SC,779.0,25.96,30.007704160246533,30.007704160246533,training,753.04
H2ZYY,557.0,23.17,24.039706517047904,24.039706517047904,training,533.8299999999999
WMBOO,996.0,33.29,29.91889456293181,29.91889456293181,training,962.7099999999999
3C36H,782.0,32.54,24.0319606637984,24.0319606637984,training,749.4599999999999
ZYVTC,1068.0,39.04,27.35655737704918,27.35655737704918,training,1028.96
J40UT,956.0,31.88,29.98745294855709,29.98745294855709,training,924.12
9HGNV,932.0,31.75,29.35433070866142,29.35433070866142,training,900.25
HQZ29,942.0,31.5,29.904761904761905,29.904761904761905,training,910.5
LW5O6,469.0,15.62,30.02560819462228,30.02560819462228,training,453.38
PKEZI,618.0,38.58,16.018662519440124,16.018662519440124,training,579.42
ZHLLU,750.0,24.96,30.048076923076923,30.048076923076923,training,725.0400000000001
F50DT,768.0,31.96,24.030037546933666,24.030037546933666,training,736.04
H3E1E,808.0,33.62,24.033313503866747,24.033313503866747,training,774.38
CXSYS,701.0,23.38,29.982891360136872,29.982891360136872,training,677.62
8HLKN,465.0,30.96,15.01937984496124,15.01937984496124,training,434.03999999999996
JL3VT,582.0,19.38,30.030959752321984,30.030959752321984,training,562.62
7P0HA,777.0,25.88,30.023183925811438,30.023183925811438,training,751.12
2XG25,916.0,30.54,29.99345121152587,29.99345121152587,training,885.46
MD6P2,951.0,31.71,29.99053926206244,29.99053926206244,training,919.2900000000001
YYMLT,916.0,31.17,29.387231312159127,29.387231312159127,training,884.83
V1PRP,706.0,29.42,23.99728076138681,23.99728076138681,training,676.58
X1R6D,717.0,23.88,30.025125628140703,30.025125628140703,training,693.12
29LL7,947.0,31.54,30.02536461636018,30.02536461636018,training,915.46
0OUEP,776.0,32.33,24.002474481905352,24.002474481905352,training,743.67
705RV,731.0,30.42,24.03024326101249,24.03024326101249,training,700.58
FKZTG,914.0,30.42,30.04602235371466,30.04602235371466,training,883.5799999999999
HOI88,820.0,34.12,24.03282532239156,24.03282532239156,training,785.88
SBMQX,910.0,30.29,30.042918454935624,30.042918454935624,training,879.71
CYLQ0,913.0,30.5,29.934426229508198,29.934426229508198,training,882.5
AEZDA,1050.0,35.0,30.0,30.0,training,1015.0
2BUDH,766.0,29.83,25.678846798524976,25.678846798524976,training,736.17
2ZFG4,711.0,23.67,30.03802281368821,30.03802281368821,training,687.33
W2TL1,929.0,30.92,30.045278137128072,30.045278137128072,training,898.08
G7LU9,719.0,23.96,30.008347245409013,30.008347245409013,training,695.04
WEYV3,837.0,29.25,28.615384615384617,28.615384615384617,training,807.75
BIK4X,173.0,5.75,30.08695652173913,30.08695652173913,training,167.25
E7ESG,944.0,31.42,30.044557606619986,30.044557606619986,training,912.58
KZK6W,852.0,35.46,24.027072758037225,24.027072758037225,training,816.54
A4SR3,901.0,30.04,29.993342210386153,29.993342210386153,training,870.96
CD11G,465.0,17.92,25.94866071428571,25.94866071428571,training,447.08
0MFAM,937.0,31.25,29.984,29.984,training,905.75
OVH9Y,964.0,32.08,30.0498753117207,30.0498753117207,training,931.9200000000001
3W5GB,921.0,30.71,29.99023119505047,29.99023119505047,training,890.29
EASCD,1218.0,41.46,29.377713458755427,29.377713458755427,training,1176.54
O1LOW,916.0,31.17,29.387231312159127,29.387231312159127,training,884.83
3BVG1,736.0,30.67,23.997391587870883,23.997391587870883,training,705.33
P5SWU,919.0,30.58,30.052321778940485,30.052321778940485,training,888.42
7B1CR,834.0,27.79,30.010795250089963,30.010795250089963,training,806.21
2JKR8,966.0,32.17,30.027976375505126,30.027976375505126,training,933.8299999999999
WJFGC,1074.0,35.79,30.008382229673092,30.008382229673092,training,1038.21
ON2VH,907.0,30.21,30.023171135385635,30.023171135385635,training,876.7900000000001
FN457,801.0,32.0,25.03125,25.03125,training,769.0
WOD0G,910.0,30.79,29.55505034101981,29.55505034101981,training,879.2099999999999
J4GX8,703.0,29.21,24.06710030811366,24.06710030811366,training,673.79
YJ2CM,682.0,22.75,29.978021978021978,29.978021978021978,training,659.25
3SIOT,726.0,30.21,24.0317775571003,24.0317775571003,training,695.7900000000001
WXUZK,714.0,29.71,24.032312352743183,24.032312352743183,training,684.29
GXIWH,861.0,34.42,25.01452643811737,25.01452643811737,training,826.5799999999999
H40VV,742.0,30.92,23.997412677878394,23.997412677878394,training,711.0799999999999
V7KBN,876.0,29.21,29.98972954467648,29.98972954467648,training,846.79
7W1ZI,874.0,30.12,29.017264276228417,29.017264276228417,training,843.88
29T54,844.0,28.12,30.014224751066855,30.014224751066855,training,815.88
A9BDS,829.0,32.17,25.769350326391045,25.769350326391045,training,796.8299999999999
PTA97,722.0,28.83,25.04335761359695,25.04335761359695,training,693.17
MUAR4,721.0,29.96,24.06542056074766,24.06542056074766,training,691.04
VSWNF,1048.0,34.92,30.011454753722795,30.011454753722795,training,1013.08
9FBAP,564.0,18.83,29.9522039298991,29.9522039298991,training,545.17
U6KQ7,286.0,14.08,20.3125,20.3125,training,271.92
F76GD,1046.0,35.71,29.291514981797814,29.291514981797814,training,1010.29
WT9CR,766.0,31.92,23.997493734335837,23.997493734335837,training,734.0799999999999
T03KF,933.0,31.08,30.019305019305023,30.019305019305023,training,901.9200000000001
FCBEQ,776.0,32.29,24.032208113967172,24.032208113967172,training,743.7099999999999
IA5TC,921.0,30.71,29.99023119505047,29.99023119505047,training,890.29
YXPTI,693.0,27.67,25.045175280086735,25.045175280086735,training,665.33
FBIVN,611.0,20.33,30.05410723069356,30.05410723069356,training,590.6700000000001
1RHDP,563.0,18.75,30.026666666666667,30.026666666666667,training,544.25
J6L8A,1012.0,33.71,30.020765351527736,30.020765351527736,training,978.29
D19IR,930.0,31.0,30.0,30.0,training,899.0
4SN6Z,982.0,32.75,29.984732824427482,29.984732824427482,training,949.25
M1P59,882.0,29.42,29.979605710401085,29.979605710401085,training,852.5799999999999
M1B7N,870.0,29.0,30.0,30.0,training,841.0
ZL7E9,183.0,16.71,10.951526032315979,10.951526032315979,training,166.29000000000002
88LYX,698.0,29.04,24.03581267217631,24.03581267217631,training,668.96
S2RIQ,289.0,11.92,24.24496644295302,24.24496644295302,training,277.08000000000004
IVJWH,668.0,22.25,30.02247191011236,30.02247191011236,training,645.75
X1RBM,1018.0,33.92,30.011792452830186,30.011792452830186,training,984.0799999999999
48CYX,680.0,22.67,29.995588883987647,29.995588883987647,training,657.33
3SDJE,916.0,30.58,29.954218443427077,29.954218443427077,training,885.42
SPKSE,844.0,28.12,30.014224751066855,30.014224751066855,training,815.88
UGMJZ,760.0,31.58,24.065864471184295,24.065864471184295,training,728.42
N7AOK,913.0,30.42,30.013149243918473,30.013149243918473,training,882.58
M5C5L,1021.0,34.04,29.99412455934195,29.99412455934195,training,986.96
07E49,957.0,32.96,29.03519417475728,29.03519417475728,training,924.04
5IOQB,854.0,28.42,30.04926108374384,30.04926108374384,training,825.5799999999999
1DYYP,926.0,30.83,30.03567953292248,30.03567953292248,training,895.17
5QJNP,574.0,38.21,15.022245485475006,15.022245485475006,training,535.79
I2DHG,922.0,30.79,29.9447872685937,29.9447872685937,training,891.21
X42YA,999.0,33.25,30.045112781954888,30.045112781954888,training,965.75
A5YR8,147.0,14.25,10.31578947368421,10.31578947368421,training,132.75
NM65M,473.0,15.75,30.03174603174603,30.03174603174603,training,457.25
XPY4P,916.0,30.54,29.99345121152587,29.99345121152587,training,885.46
HKM3R,930.0,31.0,30.0,30.0,training,899.0
RXLKF,1116.0,38.08,29.30672268907563,29.30672268907563,training,1077.92
KWONB,888.0,29.58,30.020283975659233,30.020283975659233,training,858.4200000000001
1RB92,832.0,34.62,24.032351242056617,24.032351242056617,training,797.38
YORQM,721.0,24.0,30.041666666666668,30.041666666666668,training,697.0
40TYU,804.0,26.79,30.011198208286675,30.011198208286675,training,777.21
IJWV9,1774.0,59.08,30.02708192281652,30.02708192281652,training,1714.92
8APDH,777.0,25.88,30.023183925811438,30.023183925811438,training,751.12
TMA9G,1173.0,39.08,30.015353121801436,30.015353121801436,training,1133.92
GT53K,802.0,26.75,29.981308411214954,29.981308411214954,training,775.25
19PNV,1021.0,34.12,29.923798358733883,29.923798358733883,training,986.88
MD6C0,1217.0,40.71,29.894374846475067,29.894374846475067,training,1176.29
QO1TO,992.0,33.21,29.870520927431496,29.870520927431496,training,958.79
9QMRD,943.0,31.42,30.012730744748566,30.012730744748566,training,911.58
ZXHLY,929.0,31.58,29.417352754908173,29.417352754908173,training,897.4200000000001
NVGDG,773.0,32.21,23.998758149642967,23.998758149642967,training,740.79
MJPET,675.0,26.96,25.037091988130562,25.037091988130562,training,648.04
3ZHEX,608.0,24.96,24.358974358974358,24.358974358974358,training,583.04
NR94C,543.0,31.75,17.10236220472441,17.10236220472441,training,511.25000000000006
1U9TF,331.0,22.0,15.045454545454545,15.045454545454545,training,309.0
HS3XP,317.0,12.62,25.118858954041205,25.118858954041205,training,304.38
370X8,886.0,29.5,30.033898305084747,30.033898305084747,training,856.5
LOSLI,699.0,23.29,30.012881064834694,30.012881064834694,training,675.71
24XHS,679.0,33.88,20.041322314049584,20.041322314049584,training,645.1199999999999
3P2U4,486.99999999999994,19.46,25.0256937307297,25.0256937307297,training,467.53999999999996
73NG4,813.0,32.04,25.374531835205993,25.374531835205993,training,780.96
409X2,306.0,29.71,10.299562436889936,10.299562436889936,training,276.29
5GEJS,998.0,33.25,30.015037593984964,30.015037593984964,training,964.75
2XT4N,586.0,19.5,30.05128205128205,30.05128205128205,training,566.5
NEM29,973.0,32.42,30.01233806292412,30.01233806292412,training,940.58
JCGWC,584.0,24.21,24.122263527467986,24.122263527467986,training,559.79
YT3VH,874.0,29.08,30.05502063273728,30.05502063273728,training,844.92
EDKXT,411.0,13.67,30.065837600585223,30.065837600585223,training,397.33
4JWAH,920.0,30.67,29.996739484838603,29.996739484838603,training,889.33
4DWGO,789.0,31.5,25.047619047619047,25.047619047619047,training,757.5
KU3WI,713.0,23.75,30.021052631578947,30.021052631578947,training,689.25
YUEB9,889.0,29.58,30.054090601757945,30.054090601757945,training,859.42
S3TR3,1213.0,40.46,29.980227385071675,29.980227385071675,training,1172.54
K71S1,717.0,29.83,24.036205162588,24.036205162588,training,687.1700000000001
X8I9J,738.0,30.71,24.03126017583849,24.03126017583849,training,707.2900000000001
NV1M1,119.0,3.96,30.050505050505052,30.050505050505052,training,115.04
OA9W5,830.0,34.46,24.085896691816597,24.085896691816597,training,795.54
G5LEA,728.0,30.29,24.034334763948497,24.034334763948497,training,697.7099999999999
A4K1X,897.0,30.0,29.9,29.9,training,867.0
Y98NJ,77.0,2.54,30.31496062992126,30.31496062992126,training,74.46
VSO80,946.0,31.5,30.03174603174603,30.03174603174603,training,914.5
PRVHF,990.0,32.96,30.03640776699029,30.03640776699029,training,957.04
9J074,883.0,29.42,30.01359619306594,30.01359619306594,training,853.58
HXCGX,964.0,32.08,30.0498753117207,30.0498753117207,training,931.9200000000001
ORM2H,711.0,28.42,25.017593244194227,25.017593244194227,training,682.5799999999999
LWJGN,221.0,7.33,30.15006821282401,30.15006821282401,training,213.67
CIGGJ,898.0,30.83,29.12747324035031,29.12747324035031,training,867.17
0WGTG,518.0,31.08,16.666666666666668,16.666666666666668,training,486.92
X29NF,1283.0,42.79,29.983641037625613,29.983641037625613,training,1240.21
IACBH,861.0,34.42,25.01452643811737,25.01452643811737,training,826.5799999999999
E23CT,951.0,31.67,30.02841806125671,30.02841806125671,training,919.33
AXFJP,874.0,29.08,30.05502063273728,30.05502063273728,training,844.92
HDX87,711.0,28.42,25.017593244194227,25.017593244194227,training,682.5799999999999
V1SQH,840.0,27.96,30.04291845493562,30.04291845493562,training,812.04
48WOM,741.0,24.67,30.03648155654641,30.03648155654641,training,716.3299999999999
