,frame-init,frame-end,video-frames,time-init,time-end,video-seconds,score,name
1419,42,435,747,1.75,18.10,31.08,0.748383104801178,9GMHF
1436,204,487,747,8.49,20.26,31.08,0.7457486391067505,9GMHF
1408,137,493,747,5.70,20.51,31.08,0.6901090145111084,9GMHF
1465,399,459,938,13.31,15.31,31.29,0.7290892601013184,7HZHM
1447,368,418,938,12.28,13.94,31.29,0.7257865071296692,7HZHM
1468,348,412,938,11.61,13.74,31.29,0.7108379006385803,7HZHM
1500,240,458,1089,8.00,15.26,36.29,0.7060616612434387,L2ZZB
1483,72,473,1089,2.40,15.76,36.29,0.6863209009170532,L2ZZB
1472,191,439,1089,6.36,14.63,36.29,0.6206870675086975,L2ZZB
1532,212,492,894,7.07,16.42,29.83,0.7423908710479736,UAT1F
1504,161,493,894,5.37,16.45,29.83,0.7079442143440247,UAT1F
1515,71,471,894,2.37,15.72,29.83,0.6903870105743408,UAT1F
1553,157,321,961,5.40,11.05,33.08,0.7531366348266602,VLE11
1548,115,312,961,3.96,10.74,33.08,0.7251234650611877,VLE11
1561,340,505,961,11.70,17.38,33.08,0.6404833793640137,VLE11
1573,45,221,269,1.50,7.36,8.96,0.7200058698654175,00SL4
1580,96,269,269,3.20,8.96,8.96,0.6468643546104431,00SL4
1596,215,269,269,7.16,8.96,8.96,0.6210939884185791,00SL4
1628,264,425,918,8.79,14.16,30.58,0.665277898311615,U3VOM
1629,257,330,918,8.56,10.99,30.58,0.6323397159576416,U3VOM
1606,234,310,918,7.79,10.33,30.58,0.622279942035675,U3VOM
1661,233,344,846,7.77,11.47,28.21,0.6558651328086853,S72J9
1657,369,501,846,12.30,16.71,28.21,0.6396523714065552,S72J9
1660,254,445,846,8.47,14.84,28.21,0.634511411190033,S72J9
1690,92,159,918,3.06,5.30,30.58,0.6963812112808228,4ZNNP
1669,67,169,918,2.23,5.63,30.58,0.6288353204727173,4ZNNP
1670,229,291,918,7.63,9.69,30.58,0.6213674545288086,4ZNNP
1707,81,483,1092,2.70,16.11,36.42,0.599327564239502,FU2HI
1721,328,510,1092,10.94,17.01,36.42,0.36428213119506836,FU2HI
1720,32,423,1092,1.07,14.11,36.42,0.36251384019851685,FU2HI
1745,165,349,794,6.59,13.94,31.71,0.6863425970077515,MI76A
1753,345,504,794,13.78,20.13,31.71,0.5629371404647827,MI76A
1728,194,376,794,7.75,15.02,31.71,0.5574289560317993,MI76A
1785,368,499,1010,12.27,16.63,33.67,0.6236120462417603,XHQT1
1780,394,503,1010,13.13,16.77,33.67,0.6219949722290039,XHQT1
1771,97,486,1010,3.23,16.20,33.67,0.4437011778354645,XHQT1
1799,343,436,540,13.68,17.39,21.54,0.7808843851089478,TX020
1817,380,486,540,15.16,19.39,21.54,0.7600157260894775,TX020
1801,112,194,540,4.47,7.74,21.54,0.7056142091751099,TX020
1849,351,496,522,20.79,29.38,30.92,0.7205999493598938,B9YPQ
1835,45,453,522,2.67,26.83,30.92,0.6466005444526672,B9YPQ
1844,396,497,522,23.46,29.44,30.92,0.6078475713729858,B9YPQ
1883,318,381,464,21.05,25.22,30.71,0.7133914232254028,AZC1I
1884,319,397,464,21.11,26.28,30.71,0.6774435639381409,AZC1I
1885,275,345,464,18.20,22.83,30.71,0.645526111125946,AZC1I
1916,253,463,1021,8.43,15.42,34.00,0.6450001001358032,OOWJ9
1913,351,502,1021,11.69,16.72,34.00,0.6358545422554016,OOWJ9
1899,84,487,1021,2.80,16.22,34.00,0.555884599685669,OOWJ9
1941,16,70,888,0.54,2.34,29.71,0.6994210481643677,DB4WX
1928,10,50,888,0.33,1.67,29.71,0.6810024976730347,DB4WX
1931,87,482,888,2.91,16.13,29.71,0.6269855499267578,DB4WX
1963,56,459,960,1.87,15.30,32.00,0.7497493028640747,AGWQA
1980,240,496,960,8.00,16.53,32.00,0.7475027441978455,AGWQA
1952,158,500,960,5.27,16.67,32.00,0.6830821633338928,AGWQA
1992,6,37,661,0.20,1.23,22.00,0.5862605571746826,0NFT7
2010,104,140,661,3.46,4.66,22.00,0.5616277456283569,0NFT7
2005,24,67,661,0.80,2.23,22.00,0.5159115195274353,0NFT7
2044,220,460,1115,7.32,15.31,37.12,0.6900767087936401,LT2IJ
2027,63,467,1115,2.10,15.55,37.12,0.6740115880966187,LT2IJ
2016,147,475,1115,4.89,15.81,37.12,0.6480348110198975,LT2IJ
2077,236,357,528,14.16,21.41,31.67,0.7961453795433044,JZ9L4
2068,437,492,528,26.21,29.51,31.67,0.7308701276779175,JZ9L4
2073,403,489,528,24.17,29.33,31.67,0.7230559587478638,JZ9L4
2091,64,434,434,2.66,18.04,18.04,0.6908841133117676,MLDGN
2108,228,434,434,9.48,18.04,18.04,0.6344056129455566,MLDGN
2087,262,434,434,10.89,18.04,18.04,0.5937684774398804,MLDGN
2123,59,461,1029,1.96,15.34,34.25,0.7403926849365234,CW9VO
2140,242,476,1029,8.05,15.84,34.25,0.6707568764686584,CW9VO
2112,185,462,1029,6.16,15.38,34.25,0.6664864420890808,CW9VO
2155,60,462,1397,2.00,15.39,46.54,0.6877765655517578,YQOPM
2144,159,482,1397,5.30,16.06,46.54,0.6875482797622681,YQOPM
2172,217,485,1397,7.23,16.16,46.54,0.6798416972160339,YQOPM
2205,256,335,1160,8.53,11.17,38.67,0.6755201816558838,1D31Z
2180,52,144,1160,1.73,4.80,38.67,0.6709802150726318,1D31Z
2204,282,440,1160,9.40,14.67,38.67,0.6349776387214661,1D31Z
2219,88,487,846,3.66,20.27,35.21,0.7287012934684753,HDDU0
2236,254,503,846,10.57,20.93,35.21,0.6617337465286255,HDDU0
2215,292,504,846,12.15,20.98,35.21,0.6308962106704712,HDDU0
2240,168,192,192,16.69,19.08,19.08,0.681281328201294,TU3IG
2251,59,192,192,5.86,19.08,19.08,0.6722922921180725,TU3IG
2257,145,192,192,14.41,19.08,19.08,0.43295711278915405,TU3IG
2297,334,498,558,13.34,19.89,22.29,0.6682263612747192,WFWTU
2283,72,477,558,2.88,19.05,22.29,0.6286339163780212,WFWTU
2300,255,453,558,10.19,18.10,22.29,0.5375760793685913,WFWTU
2329,384,490,602,21.00,26.80,32.92,0.7338126301765442,9WX7N
2333,244,340,602,13.34,18.59,32.92,0.731410026550293,9WX7N
2321,195,339,602,10.66,18.54,32.92,0.6842288970947266,9WX7N
2347,55,465,909,1.83,15.49,30.29,0.6648077964782715,IUW9N
2336,162,505,909,5.40,16.83,30.29,0.5518335103988647,IUW9N
2357,9,119,909,0.30,3.97,30.29,0.5483086109161377,IUW9N
2396,238,449,746,7.94,14.97,24.88,0.7816384434700012,9JIHR
2368,194,446,746,6.47,14.87,24.88,0.7058753967285156,9JIHR
2397,240,369,746,8.00,12.31,24.88,0.7008876204490662,9JIHR
2421,8,84,411,0.78,8.17,39.96,0.6806574463844299,XBXKO
2408,4,54,411,0.39,5.25,39.96,0.5579565763473511,XBXKO
2411,57,411,411,5.54,39.96,39.96,0.5194796323776245,XBXKO
2443,51,447,886,1.70,14.88,29.50,0.715274453163147,GLH5S
2460,210,492,886,6.99,16.38,29.50,0.6946509480476379,GLH5S
2439,250,490,886,8.32,16.31,29.50,0.6141161918640137,GLH5S
2489,326,504,724,10.86,16.79,24.12,0.6445896029472351,PK2F0
2484,357,502,724,11.89,16.72,24.12,0.6016262769699097,PK2F0
2475,37,444,724,1.23,14.79,24.12,0.5678950548171997,PK2F0
2507,44,446,758,1.47,14.86,25.25,0.7254441380500793,JNLCW
2500,21,146,758,0.70,4.86,25.25,0.655911922454834,JNLCW
2521,350,502,758,11.66,16.72,25.25,0.6399311423301697,JNLCW
2553,340,506,933,11.33,16.86,31.08,0.6946148872375488,C41G7
2545,169,318,933,5.63,10.59,31.08,0.6504899263381958,C41G7
2548,373,505,933,12.43,16.82,31.08,0.6286213397979736,C41G7
2571,51,442,757,2.12,18.42,31.54,0.5832276344299316,O0C2Z
2584,36,317,757,1.50,13.21,31.54,0.5308875441551208,O0C2Z
2566,236,302,757,9.83,12.58,31.54,0.5024526715278625,O0C2Z
2620,259,437,941,8.68,14.65,31.54,0.7115707397460938,17AZ5
2598,231,294,941,7.74,9.85,31.54,0.7042396068572998,17AZ5
2603,62,466,941,2.08,15.62,31.54,0.6730297803878784,17AZ5
2641,117,420,926,3.90,14.01,30.88,0.7370844483375549,MMKKS
2624,138,489,926,4.60,16.31,30.88,0.7284247875213623,MMKKS
2635,51,447,926,1.70,14.91,30.88,0.7237190008163452,MMKKS
2667,92,485,991,3.07,16.17,33.04,0.5501102805137634,7OPHI
2681,362,498,991,12.07,16.60,33.04,0.5089316964149475,7OPHI
2676,393,504,991,13.10,16.80,33.04,0.4224850535392761,7OPHI
2716,231,454,871,7.70,15.14,29.04,0.8019815683364868,U75AZ
2688,186,459,871,6.20,15.30,29.04,0.7714633941650391,U75AZ
2699,61,464,871,2.03,15.47,29.04,0.7021256685256958,U75AZ
2748,257,406,406,8.55,13.50,13.50,0.7131094932556152,HXSMP
2727,290,406,406,9.64,13.50,13.50,0.6557058095932007,HXSMP
2731,54,406,406,1.80,13.50,13.50,0.65444016456604,HXSMP
2773,21,68,71,0.69,2.23,2.33,0.6518443822860718,QGHR6
2760,2,39,71,0.07,1.28,2.33,0.6322365403175354,QGHR6
2756,56,71,71,1.84,2.33,2.33,0.5219154357910156,QGHR6
2795,75,481,911,2.50,16.04,30.38,0.5670201182365417,SL9ZD
2809,365,501,911,12.17,16.71,30.38,0.5538315773010254,SL9ZD
2805,19,105,911,0.63,3.50,30.38,0.5187629461288452,SL9ZD
2823,341,423,873,11.34,14.07,29.04,0.7236552238464355,FO2RD
2841,360,499,873,11.98,16.60,29.04,0.6575720906257629,FO2RD
2844,287,462,873,9.55,15.37,29.04,0.6282080411911011,FO2RD
2859,69,472,1105,2.30,15.71,36.79,0.697655975818634,1X765
2876,238,470,1105,7.92,15.65,36.79,0.6191277503967285,1X765
2872,11,362,1105,0.37,12.05,36.79,0.5440419912338257,1X765
2891,52,454,777,2.16,18.89,32.33,0.6728588342666626,VG9II
2905,344,505,777,14.31,21.01,32.33,0.6268799304962158,VG9II
2900,408,502,777,16.98,20.89,32.33,0.5933979749679565,VG9II
2937,383,496,1093,12.76,16.53,36.42,0.6831560134887695,HIOY0
2929,205,305,1093,6.83,10.16,36.42,0.6762983202934265,HIOY0
2918,227,309,1093,7.56,10.30,36.42,0.6329120993614197,HIOY0
2969,358,498,845,11.95,16.63,28.21,0.6971818208694458,XV8CH
2964,398,500,845,13.29,16.69,28.21,0.6127511262893677,XV8CH
2963,174,242,845,5.81,8.08,28.21,0.6059111952781677,XV8CH
3001,403,488,981,13.42,16.25,32.67,0.6802672743797302,RANB1
3004,307,430,981,10.22,14.32,32.67,0.6619755625724792,RANB1
3003,303,391,981,10.09,13.02,32.67,0.6528186798095703,RANB1
3033,319,503,908,10.63,16.76,30.25,0.6970862150192261,IR7CA
3036,218,494,908,7.26,16.46,30.25,0.6691730618476868,IR7CA
3019,55,463,908,1.83,15.42,30.25,0.6547667980194092,IR7CA
3051,55,460,1547,1.83,15.34,51.58,0.7244367599487305,JNWX7
3045,25,246,1547,0.83,8.20,51.58,0.6916568279266357,JNWX7
3044,20,190,1547,0.67,6.33,51.58,0.6478655338287354,JNWX7
3097,360,501,909,12.00,16.69,30.29,0.687109649181366,94KP4
3092,397,501,909,13.23,16.69,30.29,0.6532408595085144,94KP4
3089,169,329,909,5.63,10.96,30.29,0.6527095437049866,94KP4
3132,234,504,1031,7.80,16.81,34.38,0.73758864402771,KW4Y1
3115,76,479,1031,2.53,15.97,34.38,0.7224222421646118,KW4Y1
3129,326,510,1031,10.87,17.01,34.38,0.6717687249183655,KW4Y1
3164,247,437,946,8.22,14.55,31.50,0.7029822468757629,GKH4A
3136,184,439,946,6.13,14.62,31.50,0.675722599029541,GKH4A
3161,320,500,946,10.66,16.65,31.50,0.6188278794288635,GKH4A
3174,224,286,605,14.90,19.03,40.25,0.577709972858429,1BUFQ
3179,71,452,605,4.72,30.07,40.25,0.5727038383483887,1BUFQ
3168,229,381,605,15.24,25.35,40.25,0.5582166314125061,1BUFQ
3204,58,126,387,1.93,4.19,12.88,0.6435821056365967,CO1S9
3205,65,146,387,2.16,4.86,12.88,0.6321594715118408,CO1S9
3206,245,298,387,8.15,9.92,12.88,0.5328388810157776,CO1S9
3257,408,484,1196,13.60,16.14,39.88,0.7096613645553589,ZS1P1
3252,433,503,1196,14.44,16.77,39.88,0.7027373909950256,ZS1P1
3234,215,256,1196,7.17,8.54,39.88,0.6733081936836243,ZS1P1
3270,237,298,716,9.93,12.49,30.00,0.7218166589736938,I6AZD
3285,20,73,716,0.84,3.06,30.00,0.6661372184753418,I6AZD
3291,315,370,716,13.20,15.50,30.00,0.6607736349105835,I6AZD
3307,87,488,612,3.61,20.27,25.42,0.6199058294296265,QDINO
3324,265,429,612,11.01,17.82,25.42,0.581305205821991,QDINO
3321,351,501,612,14.58,20.81,25.42,0.5807925462722778,QDINO
3339,65,466,1586,2.70,19.39,66.00,0.7513124942779541,QIQXR
3356,218,488,1586,9.07,20.31,66.00,0.7161431908607483,QIQXR
3328,177,477,1586,7.37,19.85,66.00,0.7112421989440918,QIQXR
3381,9,84,915,0.37,3.50,38.08,0.6075131893157959,I6B5D
3371,89,492,915,3.70,20.48,38.08,0.5245544910430908,I6B5D
3385,333,509,915,13.86,21.18,38.08,0.48271840810775757,I6B5D
3409,178,285,849,5.93,9.50,28.29,0.7004262804985046,YMGGV
3404,147,265,849,4.90,8.83,28.29,0.6889408826828003,YMGGV
3417,355,500,849,11.83,16.66,28.29,0.6746903657913208,YMGGV
3435,49,453,837,1.96,18.11,33.46,0.6200320720672607,C5BMA
3444,434,500,837,17.35,19.99,33.46,0.5831735134124756,C5BMA
3453,244,350,837,9.75,13.99,33.46,0.44065913558006287,C5BMA
3481,368,491,711,12.25,16.35,23.67,0.7115446329116821,GV40M
3468,143,226,711,4.76,7.52,23.67,0.701911449432373,GV40M
3484,277,433,711,9.22,14.42,23.67,0.676164984703064,GV40M
3516,258,448,942,8.59,14.92,31.38,0.7015541791915894,0YXN6
3515,287,382,942,9.56,12.73,31.38,0.6821115612983704,0YXN6
3499,64,472,942,2.13,15.72,31.38,0.6580108404159546,0YXN6
3537,119,453,557,4.95,18.84,23.17,0.685081422328949,H2ZYY
3531,58,465,557,2.41,19.34,23.17,0.6700408458709717,H2ZYY
3545,313,504,557,13.02,20.97,23.17,0.6623977422714233,H2ZYY
3563,65,468,782,2.70,19.47,32.54,0.7581576108932495,3C36H
3556,22,143,782,0.92,5.95,32.54,0.6668553352355957,3C36H
3573,18,101,782,0.75,4.20,32.54,0.6570019721984863,3C36H
3609,328,504,956,10.94,16.81,31.88,0.7011380195617676,J40UT
3604,354,504,956,11.80,16.81,31.88,0.5945676565170288,J40UT
3596,136,267,956,4.54,8.90,31.88,0.5697977542877197,J40UT
3627,65,467,942,2.17,15.62,31.50,0.6527981758117676,HQZ29
3644,267,441,942,8.93,14.75,31.50,0.6489630937576294,HQZ29
3616,229,418,942,7.66,13.98,31.50,0.6231348514556885,HQZ29
3672,19,320,618,1.19,19.98,38.58,0.7357723712921143,PKEZI
3660,94,322,618,5.87,20.10,38.58,0.7216030955314636,PKEZI
3665,143,335,618,8.93,20.91,38.58,0.692651093006134,PKEZI
3701,15,62,768,0.62,2.58,31.96,0.7263540029525757,F50DT
3688,8,44,768,0.33,1.83,31.96,0.6800147891044617,F50DT
3700,433,498,768,18.02,20.72,31.96,0.4726355969905853,F50DT
3732,453,496,701,15.11,16.54,23.38,0.6616814136505127,CXSYS
3721,132,169,701,4.40,5.64,23.38,0.5691139698028564,CXSYS
3720,7,50,701,0.23,1.67,23.38,0.5570551753044128,CXSYS
3755,63,466,582,2.10,15.52,19.38,0.6397026181221008,JL3VT
3769,371,486,582,12.35,16.18,19.38,0.5939748287200928,JL3VT
3772,274,429,582,9.12,14.29,19.38,0.5636682510375977,JL3VT
3804,233,460,916,7.77,15.34,30.54,0.7795034050941467,2XG25
3776,172,469,916,5.73,15.64,30.54,0.7580703496932983,2XG25
3787,75,478,916,2.50,15.94,30.54,0.6493313908576965,2XG25
3819,67,467,916,2.28,15.89,31.17,0.7192500829696655,YYMLT
3836,234,475,916,7.96,16.16,31.17,0.5910921692848206,YYMLT
3832,22,373,916,0.75,12.69,31.17,0.5696926712989807,YYMLT
3845,19,274,717,0.63,9.13,23.88,0.6771275997161865,X1R6D
3864,7,348,717,0.23,11.59,23.88,0.6447790861129761,X1R6D
3857,102,370,717,3.40,12.32,23.88,0.5847800970077515,X1R6D
3897,340,497,776,14.17,20.71,32.33,0.7524164319038391,0OUEP
3883,70,474,776,2.92,19.75,32.33,0.7100297212600708,0OUEP
3900,238,479,776,9.92,19.96,32.33,0.6873005032539368,0OUEP
3932,237,471,914,7.89,15.68,30.42,0.8193259239196777,FKZTG
3915,69,470,914,2.30,15.64,30.42,0.7343549728393555,FKZTG
3911,268,456,914,8.92,15.18,30.42,0.7061431407928467,FKZTG
3956,434,501,910,14.45,16.68,30.29,0.6597204208374023,SBMQX
3963,305,372,910,10.15,12.38,30.29,0.5468147397041321,SBMQX
3947,82,469,910,2.73,15.61,30.29,0.510932981967926,SBMQX
3996,213,492,1050,7.10,16.40,35.00,0.7579537630081177,AEZDA
3968,140,492,1050,4.67,16.40,35.00,0.736221432685852,AEZDA
3975,276,480,1050,9.20,16.00,35.00,0.7215699553489685,AEZDA
4011,59,461,711,1.96,15.35,23.67,0.7117189168930054,2ZFG4
4028,212,493,711,7.06,16.41,23.67,0.6862624287605286,2ZFG4
4024,13,383,711,0.43,12.75,23.67,0.6698787212371826,2ZFG4
4043,64,467,719,2.13,15.56,23.96,0.7231583595275879,G7LU9
4052,428,498,719,14.26,16.60,23.96,0.6729989051818848,G7LU9
4056,7,350,719,0.23,11.66,23.96,0.6525912284851074,G7LU9
4075,57,173,173,1.89,5.75,5.75,0.6639024615287781,BIK4X
4064,162,173,173,5.38,5.75,5.75,0.6118417978286743,BIK4X
4088,9,173,173,0.30,5.75,5.75,0.5030748248100281,BIK4X
4107,89,486,852,3.70,20.23,35.46,0.6693931818008423,KZK6W
4116,405,499,852,16.86,20.77,35.46,0.6314147710800171,KZK6W
4121,373,497,852,15.52,20.68,35.46,0.6059454679489136,KZK6W
4156,238,443,465,9.17,17.07,17.92,0.7643923759460449,CD11G
4157,230,362,465,8.86,13.95,17.92,0.6183837652206421,CD11G
4155,254,390,465,9.79,15.03,17.92,0.6105634570121765,CD11G
